,displacement from other fisheries,level of regulations,recreational landings,range of recreational fishing,fishing effort Gulf of Guinea,season length for YFT,
displacement from other fisheries,,0,0,0,0,0,0
level of regulations,,0,0,0,0,0,0
recreational landings,,0,0,0,-1,0.4,0
range of recreational fishing,,0,0,1,0,0,0
fishing effort Gulf of Guinea,,0,0,0,0,0.3,0
season length for YFT,,0,0,0,0,0,0
